meter_id,X2018_7_1_1h,X2018_7_1_2h,X2018_7_1_3h,X2018_7_1_4h,X2018_7_1_5h,X2018_7_1_6h,X2018_7_1_7h,X2018_7_1_8h,X2018_7_1_9h,X2018_7_1_10h,X2018_7_1_11h,X2018_7_1_12h,X2018_7_1_13h,X2018_7_1_14h,X2018_7_1_15h,X2018_7_1_16h,X2018_7_1_17h,X2018_7_1_18h,X2018_7_1_19h,X2018_7_1_20h,X2018_7_1_21h,X2018_7_1_22h,X2018_7_1_23h,X2018_7_1_24h,X2018_7_1_d,X2018_7_2_d,X2018_7_3_d,X2018_7_4_d,X2018_7_5_d,X2018_7_6_d,X2018_7_7_d,X2018_7_8_d,X2018_7_9_d,X2018_7_10_d,X2018_7_m,X2018_8_m,X2018_9_m,X2018_10_m,X2018_11_m
X5,6.7993366065995495,6.608443848534933,6.502225844324884,6.44324895447445,6.4106284788365855,6.39271257948912,6.383000548928066,6.3778655603528165,6.375284161295543,6.374127442074403,6.373765569723209,6.37384715247725,6.3741761444339895,6.374643169108939,6.37518720398031,6.37577420381267,6.376385174339281,6.377009518418892,6.377641323772589,6.378277291865311,6.378915582402699,6.37955516866129,6.380195477819102,6.380836190291518,156.7195205479452,158.4730410958904,160.22656164383562,161.98008219178084,163.73360273972605,165.48712328767127,167.24064383561648,168.9941643835617,170.7476849315069,172.50120547945212,5673.692191780826,7358.825438356176,8725.915273972605,10674.732794520529,11934.857876712293
X7,1.3085407108768403,1.318726060435156,1.3273106322993888,1.3345460122606008,1.3406442456974041,1.3457840519341342,1.3501160619211077,1.3537672327362895,1.356844568283004,1.3594382552252022,1.361624306064316,1.3634667868176562,1.3650196945843416,1.366328540024089,1.3674316811261549,1.3683614473568426,1.3691450871306743,1.3698055663725122,1.3703622415738814,1.3708314270685793,1.3712268731525679,1.3715601690602823,1.3718410826072793,1.3720778464530388,50.64808311760167,45.43977920806907,42.856609628807675,41.62398932471464,41.08618426250271,40.90583984924793,40.909397728071454,41.00756756804459,41.15441229450998,41.32629872338007,1340.0849566046868,1507.8321011698902,1640.7472013994536,1883.045448414841,2003.8568923066869
X10,2.245585490197126,2.397960921132641,2.5221930734718137,2.6234799251648195,2.70605940344571,2.7733867032793857,2.8282788556307845,2.8730325944144997,2.909520453777332,2.9392691165050655,2.9635232917168324,2.983297794543632,2.9994200068486463,3.0125644955816666,3.0232812372287645,3.0320186292919593,3.0391422516185878,3.0449501625702093,3.049685370035641,3.053545999085819,3.056693581693738,3.0592598153683297,3.0613520734892252,3.0630578978994474,95.4077168428972,87.83760252898229,86.00474312582367,85.74012561718297,85.9041769890395,86.18540225463596,86.49865625382803,86.82066510227018,87.14506703269802,87.47012309676387,2787.029746270182,3084.692486345737,3282.8377233577676,3699.8388085936485,3878.140615855746
X16,3.3143872939324472,3.423442959394052,3.5105849498075785,3.580216604991093,3.6358564564632396,3.680316021063328,3.7158418686730927,3.744229142811844,3.7669122703723845,3.785037444117946,3.799520540526498,3.8110933996076852,3.8203408052407744,3.827730034673447,3.833634470336279,3.838352467092797,3.8421224282991893,3.8451348524764772,3.847541959321111,3.8494653814623776,3.851002310635988,3.852230408843872,3.853211732664192,3.8539958690094327,121.96611230314666,117.67573709539697,115.88949962093602,115.31933711973097,115.33973252631209,115.6469183447664,116.09337711047618,116.6074704728607,117.15440896961982,117.71729792524359,3774.6939863056255,4311.701816640651,4701.437052544757,5404.601425288646,5759.081835110687
X18,2.4954872563106623,2.5007080067138587,2.504907172511305,2.508282311274567,2.5109927762073454,2.5131671042385397,2.514908975380268,2.5163020196445807,2.517413694381962,2.518298411806673,2.5190000617104027,2.5195540463248163,2.519988921675325,2.5203277215241804,2.5205890252848606,2.520787819419475,2.5209361922561517,2.5210438944402314,2.5211187910034654,2.5211672260105074,2.521194316688802,2.5212041906786147,2.5212001774028323,2.521184962429005,65.58461643835618,66.29423287671234,67.0038493150685,67.71346575342467,68.42308219178084,69.132698630137,69.84231506849316,70.55193150684933,71.26154794520549,71.97116438356166,2363.094753424658,3045.036150684932,3596.1082191780824,4386.920835616439,4894.7063013698635
X20,0.6252221784828687,0.8177840189517339,0.9351372609151295,1.0067496179675004,1.0505429676986349,1.0774171614089707,1.094001345948577,1.10432728163679,1.1108470323123238,1.115051911097214,1.117848915106642,1.1197896681108228,1.1212096604644364,1.1223129330086514,1.1232235807115767,1.1240170765080506,1.1247393220488813,1.1254182341171033,1.1260707913346464,1.1267073198770685,1.1273340999891441,1.1279549512335185,1.128572196618183,1.1291872489661834,15.559777501457738,60.67492094858225,21.44175664801358,57.380917174301615,26.325509928374906,54.97654546340043,30.416411375303035,53.27877376800505,33.87758156494085,52.14222687830765,1440.092009114914,1948.2251222822679,2356.2802131114404,2921.800963515665,3298.8094883049625
X26,1.0880369521594737,1.1863269690955778,1.2595182615240874,1.3140198828925935,1.3546043108106742,1.3848253528288783,1.407329338409495,1.4240868468603136,1.4365652626712948,1.4458572681987716,1.4527765252607678,1.457928924078054,1.4617656385308497,1.464622633556721,1.4667500841862318,1.4683342823174923,1.4695139495136549,1.4703923842663804,1.4710465074100147,1.4715335977553252,1.4718963077538991,1.4721663983938227,1.4723675203757398,1.4725172851051718,33.6535956300401,33.617454774381805,33.58131391872351,33.545173063065214,33.50903220740692,33.47289135174862,33.436750496090326,33.40060964043203,33.364468784773734,33.32832792911544,1026.4559666501355,991.7246043625132,926.6646051654141,923.3822463126758,860.5268393107327
X30,4.797998527794722,4.527980293258929,4.306682713513657,4.125314892613314,3.976672117143277,3.8548496538763435,3.7550081882585618,3.673181585927722,3.606119340721489,3.5511574505293804,3.5061125916195772,3.4691953875876202,3.438939327594933,3.4141425102225056,3.3938198987539225,3.377164191261306,3.363513751084931,3.352326323766614,3.3431574963599173,3.335643043427906,3.329484458435219,3.324437095778841,3.3203004524077984,3.316910202975737,126.58132791710048,118.86583638948811,117.61622124244975,118.03409398210216,118.88199595346308,119.84079836470113,120.8282009422955,121.82297923018024,122.8196596434446,123.81683059671356,4039.646031564942,4982.270521759516,5734.1195178782855,6868.243148522275,7559.254317971279
X31,0.26691990505470786,0.31724476146680575,0.3567403216504568,0.3877369182715534,0.4120634247857891,0.4311551633537705,0.44613859228693237,0.4578977697864412,0.46712651549490264,0.47436934751738064,0.4800536102940368,0.4845146889458408,0.4880157978001518,0.4907635106665856,0.4929199491866474,0.49461234839895735,0.4959405639113315,0.49698296362085603,0.49780105160755217,0.4984430970224361,0.4989469820830617,0.4993424372151065,0.49965279521870837,0.49989636795956943,11.200726036180711,11.317452072361421,11.434178108542131,11.55090414472284,11.66763018090355,11.78435621708426,11.90108225326497,12.01780828944568,12.13453432562639,12.2512603618071,401.50011394563217,513.6738347152946,603.9080341201524,734.4027691330202,817.5166803308547
X32,0.23150121707923046,0.3306252060995659,0.39282520315786895,0.43185550926529576,0.45634690583902093,0.47171518157020564,0.4813587271409431,0.48741002221148766,0.4912071911844754,0.4935899029910117,0.49508504729283076,0.4960232457258641,0.49661196234584193,0.4969813802071761,0.4972131887745608,0.4973586479348703,0.4974499231088495,0.49750719799870335,0.4975431378152465,0.4975656899391607,0.4975798413272857,0.4975887212796408,0.4975942934223262,0.49759778992465686,11.822905405405411,11.822905405405411,11.822905405405411,11.822905405405411,11.822905405405411,11.822905405405411,11.822905405405411,11.822905405405411,11.822905405405411,11.822905405405411,366.51006756756794,366.51006756756794,354.6871621621625,366.51006756756794,354.6871621621625
